192.168.1.4 - - [07/Mar/2024:10:49:51 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:57:19 +0530] "GET /inventory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:57:19 +0530] "GET /inventory/ HTTP/1.1" 200 10621
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:57:19 +0530] "GET /inventory/assets/css/font-awesome.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:57:19 +0530] "GET /inventory/assets/css/icomoon.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:57:19 +0530] "GET /inventory/assets/css/bootstrap.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:57:19 +0530] "GET /inventory/assets/css/custom.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:57:21 +0530] "GET /inventory/assets/css/bootstrap.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:57:21 +0530] "GET /inventory/assets/css/font-awesome.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:57:21 +0530] "GET /inventory/assets/css/custom.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Mar/2024:10:57:21 +0530] "GET /inventory/assets/css/icomoon.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "POST /inventory/j_security_check HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/ HTTP/1.1" 200 13696
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/vendors/mdi/css/materialdesignicons.min.css HTTP/1.1" 200 204655
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/css/demo/bootstrap.min.css HTTP/1.1" 200 162764
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/vendors/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 33818
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/vendors/jvectormap/jquery-jvectormap.css HTTP/1.1" 200 6635
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/vendors/css/vendor.bundle.base.css HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/css/demo/style.css HTTP/1.1" 200 639830
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/css/demo/bootstrap-datepicker.css HTTP/1.1" 200 17190
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/css/demo/custom_style.css HTTP/1.1" 200 6708
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/css/demo/ui.jqgrid-bootstrap.css HTTP/1.1" 200 21335
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 200 405262
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/css/demo/searchFilter.min.css HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/bootstrap.min.js HTTP/1.1" 200 59733
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/css/demo/xgrid.css HTTP/1.1" 200 11215
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/autocomplete.js HTTP/1.1" 200 4959
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/jqgrid/i18n/grid.locale-en.js HTTP/1.1" 200 6780
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/jqgrid/jquery.jqGrid.min.js HTTP/1.1" 200 470562
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/popper.min.js HTTP/1.1" 200 18594
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/bootstrap-datepicker.min.js HTTP/1.1" 200 33871
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/core.js HTTP/1.1" 200 7446
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/table.js HTTP/1.1" 200 31128
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/lov.js HTTP/1.1" 200 18136
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/xgrid.js HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/newscreen.js HTTP/1.1" 200 12190
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/newtext.js HTTP/1.1" 200 35302
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/dateextn.js HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/actions.js HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/js/dashboard.js HTTP/1.1" 200 9826
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/jqimpl.js HTTP/1.1" 200 5035
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/images/logo.png HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/images/faces/face1.jpg HTTP/1.1" 200 15520
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/js/key-bindings.js HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/assets/js/preloader.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/popper.min.js.map HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/bootstrap.min.js.map HTTP/1.1" 200 218042
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/js/jqgrid/jquery.jqGrid.min.js.map HTTP/1.1" 200 693675
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/service/ajax?ic=0&id=userdefbranch,userbranch HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:29 +0530] "GET /inventory/service/ajax?ic=0&id=usermenu&login_id=admin HTTP/1.1" 200 6232
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:30 +0530] "GET /inventory/assets/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 66828
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:30 +0530] "GET /inventory/assets/vendors/mdi/fonts/materialdesignicons-webfont.woff2?v=4.5.95 HTTP/1.1" 200 262440
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:30 +0530] "GET /inventory/assets/css/demo/bootstrap.min.css.map HTTP/1.1" 200 449257
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:30 +0530] "GET /inventory/assets/vendors/mdi/css/materialdesignicons.css.map HTTP/1.1" 200 321177
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:30 +0530] "GET /inventory/assets/css/maps/demo/style.css.map HTTP/1.1" 200 1462991
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:30 +0530] "GET /inventory/assets/vendors/material-design-icons/iconfont/MaterialIcons-Regular.woff2 HTTP/1.1" 200 44300
0:0:0:0:0:0:0:1 - admin [07/Mar/2024:10:57:30 +0530] "GET /inventory/assets/css/demo/bootstrap-datepicker.css.map HTTP/1.1" 200 18548
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:11:36 +0530] "POST /inventory/j_security_check HTTP/1.1" 408 873
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:12:10 +0530] "POST /inventory/j_security_check HTTP/1.1" 408 873
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:13:07 +0530] "POST /inventory/j_security_check HTTP/1.1" 408 873
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:13:08 +0530] "POST /inventory/j_security_check HTTP/1.1" 408 873
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:15:29 +0530] "POST /inventory/j_security_check HTTP/1.1" 408 873
192.168.1.6 - - [07/Mar/2024:11:16:04 +0530] "POST /inventory/j_security_check HTTP/1.1" 408 873
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:17:41 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:18:53 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:19:22 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - - [07/Mar/2024:11:20:36 +0530] "POST /inventory/j_security_check HTTP/1.1" 200 10669
